OrderID,CustomerID,TransactionDate,ProductCategory,ProductName,UnitPrice,Quantity,TotalAmount,PaymentMethod,Status
ORD100037,CUST1048,2026-05-25,Home & Kitchen,Hydro Flask,37.34,1,37.34,PayPal,Completed
ORD100038,CUST1218,2026-03-26,Electronics,Logitech Mouse,35.85,1,35.85,Credit Card,Completed
ORD100039,CUST1058,2026-03-19,Clothing,Carhartt Jacket,92.11,1,92.11,PayPal,Returned
ORD100040,CUST1169,2026-07-20,Electronics,iPhone 15,789.59,3,2368.77,PayPal,Completed
ORD100041,CUST1219,2026-04-20,Books,Python Programming Guide,15.36,1,15.36,Apple Pay,Completed
ORD100042,CUST1187,2026-01-01,Home & Kitchen,Desk Lamp,31.15,1,31.15,PayPal,Completed
ORD100043,CUST1207,2026-02-20,Clothing,Levi Jeans,95.33,1,95.33,Apple Pay,Completed
ORD100044,CUST1014,2026-06-22,Electronics,MacBook Air,986.3,2,1972.6,Apple Pay,Completed
ORD100045,CUST1189,2026-07-24,Books,Financial Freedom Manual,17.14,3,51.42,PayPal,Completed
ORD100046,CUST1189,2026-01-04,Electronics,iPhone 15,809.8,1,809.8,PayPal,Completed
ORD100047,CUST1174,2026-07-09,Electronics,Anker Power Bank,34.64,2,69.28,Apple Pay,Completed
ORD100048,CUST1189,2026-07-12,Clothing,Adidas Sneakers,95.04,1,95.04,PayPal,Completed
ORD100049,CUST1050,2026-04-23,Electronics,MacBook Air,1038.23,1,1038.23,Apple Pay,Cancelled
ORD100050,CUST1107,2026-08-20,Books,Biography,24.09,1,24.09,PayPal,Completed
ORD100051,CUST1054,2026-02-01,Home & Kitchen,Ninja Blender,106.7,1,106.7,PayPal,Completed
ORD100052,CUST1243,2026-02-03,Electronics,Anker Power Bank,33.35,1,33.35,Credit Card,Completed
ORD100053,CUST1063,2026-04-02,Clothing,Crewneck Sweater,43.07,1,43.07,Credit Card,Completed
ORD100054,CUST1248,2026-04-05,Books,Biography,26.22,1,26.22,Crypto,Completed
ORD100055,CUST1130,2026-03-13,Books,Financial Freedom Manual,15.42,3,46.26,PayPal,Completed
ORD100056,CUST1228,2026-02-08,Home & Kitchen,Air Fryer,117.46,1,117.46,PayPal,Completed
ORD100057,CUST1050,2026-06-03,Books,Financial Freedom Manual,20.9,1,20.9,Apple Pay,Completed
ORD100058,CUST1134,2026-09-07,Books,Sci-Fi Novel,25.33,1,25.33,PayPal,Completed
ORD100059,CUST1020,2026-06-11,Home & Kitchen,Hydro Flask,36.98,2,73.96,PayPal,Completed
ORD100060,CUST1072,2026-07-01,Electronics,Anker Power Bank,39.46,1,39.46,Apple Pay,Completed
ORD100061,CUST1166,2026-04-28,Clothing,Carhartt Jacket,138.64,1,138.64,PayPal,Completed
ORD100062,CUST1017,2026-01-03,Books,Biography,26.76,3,80.28,Credit Card,Completed
ORD100063,CUST1131,2026-05-03,Electronics,MacBook Air,1025.95,1,1025.95,Credit Card,Returned
ORD100064,CUST1088,2026-02-19,Books,Sci-Fi Novel,20.06,1,20.06,Credit Card,Completed
ORD100065,CUST1059,2026-01-12,Electronics,Logitech Mouse,29.18,2,58.36,Credit Card,Completed
ORD100066,CUST1013,2026-07-12,Electronics,Anker Power Bank,25.08,1,25.08,PayPal,Completed
ORD100067,CUST1241,2026-02-23,Clothing,Adidas Sneakers,140.38,1,140.38,Credit Card,Completed
ORD100068,CUST1249,2026-08-24,Electronics,AirPods Pro,89.54,1,89.54,Credit Card,Completed
ORD100069,CUST1008,2026-05-13,Books,Biography,25.38,1,25.38,Credit Card,Completed
ORD100070,CUST1089,2026-08-10,Books,Sci-Fi Novel,16.59,1,16.59,Credit Card,Returned
ORD100071,CUST1052,2026-08-10,Books,Biography,26.57,1,26.57,PayPal,Completed
ORD100072,CUST1129,2026-02-26,Home & Kitchen,Air Fryer,108.0,1,108.0,Apple Pay,Completed
ORD100073,CUST1083,2026-05-25,Electronics,AirPods Pro,119.09,1,119.09,PayPal,Completed
ORD100074,CUST1091,2026-04-22,Clothing,Nike Hoodie,56.03,2,112.06,Credit Card,Completed
ORD100075,CUST1110,2026-02-16,Clothing,Adidas Sneakers,137.49,1,137.49,Credit Card,Completed
ORD100076,CUST1187,2026-05-31,Clothing,Adidas Sneakers,120.72,1,120.72,Credit Card,Completed
ORD100077,CUST1198,2026-07-26,Electronics,Logitech Mouse,34.78,2,69.56,PayPal,Completed
ORD100078,CUST1171,2026-08-17,Clothing,Levi Jeans,96.0,1,96.0,Credit Card,Completed
ORD100079,CUST1007,2026-03-26,Clothing,Carhartt Jacket,124.52,1,124.52,PayPal,Completed
ORD100080,CUST1174,2026-05-22,Books,Sci-Fi Novel,22.82,3,68.46,Credit Card,Completed
ORD100081,CUST1034,2026-03-07,Books,Sci-Fi Novel,25.55,1,25.55,Apple Pay,Returned
ORD100082,CUST1205,2026-03-16,Clothing,Adidas Sneakers,125.52,1,125.52,Credit Card,Completed
ORD100083,CUST1080,2026-06-28,Home & Kitchen,Ninja Blender,98.61,2,197.22,Credit Card,Returned
ORD100084,CUST1163,2026-04-13,Home & Kitchen,Memory Foam Pillow,35.82,1,35.82,Apple Pay,Completed
ORD100085,CUST1049,2026-06-15,Electronics,Anker Power Bank,28.16,1,28.16,Credit Card,Completed
ORD100086,CUST1103,2026-07-11,Books,Biography,27.06,1,27.06,Credit Card,Returned
ORD100087,CUST1131,2026-08-14,Books,Biography,16.48,1,16.48,PayPal,Completed
ORD100088,CUST1001,2026-02-07,Clothing,Nike Hoodie,54.7,1,54.7,PayPal,Completed
ORD100089,CUST1133,2026-02-19,Clothing,Crewneck Sweater,57.46,3,172.38,PayPal,Completed
ORD100090,CUST1053,2026-04-08,Electronics,MacBook Air,1040.71,1,1040.71,Credit Card,Completed
ORD100091,CUST1105,2026-03-23,Clothing,Adidas Sneakers,70.01,2,140.02,Credit Card,Completed
ORD100092,CUST1003,2026-01-30,Electronics,MacBook Air,961.09,1,961.09,Credit Card,Completed
ORD100093,CUST1053,2026-03-20,Books,Biography,18.71,2,37.42,Credit Card,Returned
ORD100094,CUST1220,2026-04-01,Electronics,MacBook Air,991.27,2,1982.54,Apple Pay,Returned
ORD100095,CUST1190,2026-06-28,Clothing,Adidas Sneakers,103.79,1,103.79,PayPal,Completed
ORD100096,CUST1145,2026-07-10,Books,Sci-Fi Novel,19.31,1,19.31,Credit Card,Completed
ORD100097,CUST1217,2026-08-14,Home & Kitchen,Hydro Flask,59.15,1,59.15,PayPal,Completed
ORD100098,CUST1043,2026-02-21,Electronics,iPhone 15,779.21,1,779.21,Credit Card,Completed
ORD100099,CUST1161,2026-09-06,Electronics,MacBook Air,1032.59,2,2065.18,Apple Pay,Completed
ORD100100,CUST1201,2026-06-15,Electronics,MacBook Air,1030.48,2,2060.96,Credit Card,Completed
ORD100101,CUST1189,2026-08-13,Home & Kitchen,Desk Lamp,39.63,1,39.63,Credit Card,Completed
ORD100102,CUST1227,2026-08-04,Electronics,iPhone 15,780.47,1,780.47,PayPal,Completed
ORD100103,CUST1013,2026-03-20,Clothing,Nike Hoodie,42.03,1,42.03,PayPal,Completed
ORD100104,CUST1094,2026-01-30,Books,Biography,14.68,1,14.68,PayPal,Cancelled
ORD100105,CUST1047,2026-09-04,Electronics,Anker Power Bank,30.8,1,30.8,Credit Card,Cancelled
ORD100106,CUST1014,2026-04-16,Books,Sci-Fi Novel,16.62,2,33.24,Credit Card,Completed
ORD100107,CUST1199,2026-02-20,Books,Sci-Fi Novel,20.02,4,80.08,Credit Card,Completed
ORD100108,CUST1205,2026-03-22,Electronics,iPhone 15,832.44,1,832.44,Credit Card,Cancelled
ORD100109,CUST1214,2026-05-13,Books,Cookbook,17.45,1,17.45,Apple Pay,Completed
ORD100110,CUST1248,2026-01-29,Clothing,Adidas Sneakers,128.41,1,128.41,Credit Card,Completed
ORD100111,CUST1189,2026-05-12,Books,Sci-Fi Novel,13.71,1,13.71,Credit Card,Completed
ORD100112,CUST1039,2026-05-18,Clothing,Carhartt Jacket,140.17,1,140.17,PayPal,Completed
ORD100113,CUST1212,2026-07-03,Home & Kitchen,Hydro Flask,51.69,1,51.69,Credit Card,Completed
ORD100114,CUST1207,2026-05-25,Clothing,Nike Hoodie,59.72,2,119.44,PayPal,Completed
ORD100115,CUST1236,2026-03-15,Books,Cookbook,25.56,1,25.56,Apple Pay,Completed
ORD100116,CUST1081,2026-01-17,Home & Kitchen,Desk Lamp,31.65,1,31.65,Credit Card,Completed
ORD100117,CUST1110,2026-03-25,Clothing,Levi Jeans,115.86,3,347.58,Apple Pay,Cancelled
ORD100118,CUST1052,2026-08-04,Books,Cookbook,13.94,2,27.88,PayPal,Completed
ORD100119,CUST1023,2026-03-10,Electronics,Logitech Mouse,24.39,1,24.39,Credit Card,Completed
ORD100120,CUST1153,2026-02-03,Electronics,Logitech Mouse,22.29,1,22.29,Credit Card,Completed
ORD100121,CUST1216,2026-01-06,Electronics,Anker Power Bank,30.49,1,30.49,Credit Card,Completed
ORD100122,CUST1187,2026-02-22,Clothing,Nike Hoodie,51.72,2,103.44,PayPal,Completed
ORD100123,CUST1123,2026-07-13,Electronics,iPhone 15,756.46,2,1512.92,Apple Pay,Returned
ORD100124,CUST1236,2026-07-24,Books,Sci-Fi Novel,13.37,1,13.37,Apple Pay,Completed
ORD100125,CUST1040,2026-05-06,Electronics,Logitech Mouse,38.2,1,38.2,Crypto,Completed
ORD100126,CUST1156,2026-08-23,Home & Kitchen,Ninja Blender,103.62,2,207.24,Apple Pay,Completed
ORD100127,CUST1014,2026-02-12,Electronics,Logitech Mouse,28.86,1,28.86,PayPal,Completed
ORD100128,CUST1044,2026-08-28,Books,Cookbook,22.46,1,22.46,Credit Card,Completed
ORD100129,CUST1064,2026-07-22,Books,Biography,24.82,1,24.82,PayPal,Cancelled
ORD100130,CUST1088,2026-04-25,Clothing,Adidas Sneakers,88.98,1,88.98,Credit Card,Completed
ORD100131,CUST1070,2026-04-21,Books,Biography,14.55,1,14.55,PayPal,Completed
ORD100132,CUST1008,2026-09-06,Electronics,Logitech Mouse,29.74,2,59.48,Credit Card,Cancelled
ORD100133,CUST1087,2026-05-31,Books,Biography,27.25,3,81.75,Credit Card,Completed
ORD100134,CUST1128,2026-07-02,Electronics,AirPods Pro,107.82,1,107.82,Credit Card,Completed
ORD100135,CUST1235,2026-03-21,Books,Sci-Fi Novel,20.58,1,20.58,Credit Card,Completed
ORD100136,CUST1135,2026-04-05,Electronics,iPhone 15,750.28,1,750.28,PayPal,Completed
ORD100137,CUST1215,2026-07-22,Clothing,Crewneck Sweater,46.8,1,46.8,Credit Card,Completed
ORD100138,CUST1062,2026-04-28,Home & Kitchen,Hydro Flask,57.67,1,57.67,PayPal,Returned
ORD100139,CUST1138,2026-05-24,Electronics,MacBook Air,977.67,3,2933.01,Credit Card,Completed
ORD100140,CUST1242,2026-01-08,Electronics,iPhone 15,795.04,1,795.04,PayPal,Completed
ORD100141,CUST1080,2026-05-12,Electronics,Anker Power Bank,29.63,1,29.63,Credit Card,Completed
ORD100142,CUST1135,2026-04-14,Clothing,Adidas Sneakers,105.79,1,105.79,Credit Card,Completed
ORD100143,CUST1162,2026-05-12,Clothing,Carhartt Jacket,86.55,2,173.1,PayPal,Completed
ORD100144,CUST1162,2026-07-03,Electronics,Anker Power Bank,30.73,2,61.46,Credit Card,Completed
ORD100145,CUST1032,2026-01-25,Clothing,Nike Hoodie,35.18,3,105.54,Credit Card,Completed
ORD100146,CUST1122,2026-07-14,Electronics,MacBook Air,1034.38,2,2068.76,Credit Card,Completed
ORD100147,CUST1004,2026-04-06,Books,Sci-Fi Novel,18.07,1,18.07,Credit Card,Completed
ORD100148,CUST1233,2026-07-14,Electronics,Anker Power Bank,28.76,1,28.76,PayPal,Completed
ORD100149,CUST1230,2026-06-04,Electronics,AirPods Pro,93.47,1,93.47,Credit Card,Completed
ORD100150,CUST1249,2026-04-03,Electronics,iPhone 15,789.69,1,789.69,PayPal,Completed
ORD100151,CUST1040,2026-06-09,Clothing,Crewneck Sweater,42.1,1,42.1,Apple Pay,Completed
ORD100152,CUST1027,2026-06-27,Books,Sci-Fi Novel,14.7,1,14.7,Credit Card,Completed
ORD100153,CUST1134,2026-03-02,Clothing,Adidas Sneakers,140.38,1,140.38,Crypto,Completed
ORD100154,CUST1200,2026-05-02,Electronics,iPhone 15,752.96,1,752.96,PayPal,Cancelled
ORD100155,CUST1071,2026-02-20,Home & Kitchen,Air Fryer,91.78,1,91.78,PayPal,Completed
ORD100156,CUST1011,2026-05-27,Home & Kitchen,Air Fryer,95.25,2,190.5,PayPal,Returned
ORD100157,CUST1161,2026-01-21,Electronics,Anker Power Bank,27.88,1,27.88,PayPal,Completed
ORD100158,CUST1032,2026-01-05,Home & Kitchen,Desk Lamp,34.59,1,34.59,PayPal,Completed
ORD100159,CUST1047,2026-07-29,Books,Cookbook,23.7,1,23.7,Credit Card,Completed
ORD100160,CUST1246,2026-04-02,Electronics,Logitech Mouse,33.48,1,33.48,Credit Card,Cancelled
ORD100161,CUST1150,2026-06-19,Home & Kitchen,Ninja Blender,122.94,1,122.94,Credit Card,Completed
ORD100162,CUST1061,2026-03-02,Home & Kitchen,Desk Lamp,36.41,1,36.41,Credit Card,Completed
ORD100163,CUST1215,2026-01-22,Clothing,Nike Hoodie,50.9,1,50.9,Credit Card,Cancelled
ORD100164,CUST1036,2026-05-29,Electronics,Anker Power Bank,36.58,1,36.58,Credit Card,Completed
ORD100165,CUST1098,2026-03-11,Electronics,iPhone 15,810.37,1,810.37,Credit Card,Completed
ORD100166,CUST1171,2026-01-01,Books,Python Programming Guide,16.84,1,16.84,PayPal,Completed
ORD100167,CUST1103,2026-05-13,Books,Biography,18.75,1,18.75,Apple Pay,Completed
ORD100168,CUST1213,2026-08-21,Home & Kitchen,Desk Lamp,27.37,1,27.37,Apple Pay,Completed
ORD100169,CUST1218,2026-01-12,Clothing,Adidas Sneakers,117.7,1,117.7,Credit Card,Completed
ORD100170,CUST1034,2026-03-31,Home & Kitchen,Desk Lamp,38.0,1,38.0,PayPal,Completed
ORD100171,CUST1192,2026-02-15,Clothing,Carhartt Jacket,76.4,1,76.4,Apple Pay,Completed
ORD100172,CUST1226,2026-02-03,Clothing,Nike Hoodie,58.53,1,58.53,Credit Card,Cancelled
ORD100173,CUST1100,2026-06-26,Electronics,Anker Power Bank,33.56,1,33.56,Credit Card,Returned
ORD100174,CUST1174,2026-03-19,Books,Python Programming Guide,26.31,1,26.31,Apple Pay,Completed
ORD100175,CUST1205,2026-08-06,Clothing,Crewneck Sweater,35.24,2,70.48,PayPal,Completed
ORD100176,CUST1130,2026-02-14,Books,Python Programming Guide,15.07,2,30.14,Credit Card,Completed
ORD100177,CUST1000,2026-06-04,Electronics,iPhone 15,811.25,2,1622.5,Credit Card,Completed
ORD100178,CUST1004,2026-03-14,Electronics,Logitech Mouse,23.43,1,23.43,Credit Card,Completed
ORD100179,CUST1217,2026-01-26,Electronics,MacBook Air,1024.09,1,1024.09,Apple Pay,Completed
ORD100180,CUST1246,2026-09-06,Clothing,Crewneck Sweater,36.65,1,36.65,PayPal,Completed
ORD100181,CUST1141,2026-02-16,Books,Python Programming Guide,13.17,1,13.17,Credit Card,Completed
ORD100182,CUST1102,2026-05-01,Electronics,Logitech Mouse,25.89,1,25.89,Credit Card,Completed
ORD100183,CUST1026,2026-08-02,Books,Sci-Fi Novel,14.26,1,14.26,PayPal,Completed
ORD100184,CUST1136,2026-08-27,Clothing,Levi Jeans,142.8,3,428.4,PayPal,Completed
ORD100185,CUST1206,2026-02-25,Books,Sci-Fi Novel,16.23,1,16.23,Credit Card,Completed
ORD100186,CUST1014,2026-04-04,Electronics,iPhone 15,822.91,2,1645.82,Apple Pay,Completed
ORD100187,CUST1089,2026-04-17,Books,Sci-Fi Novel,14.0,1,14.0,Credit Card,Completed
ORD100188,CUST1041,2026-03-04,Home & Kitchen,Memory Foam Pillow,52.3,1,52.3,Credit Card,Completed
ORD100189,CUST1123,2026-02-17,Electronics,AirPods Pro,102.3,1,102.3,PayPal,Completed
ORD100190,CUST1204,2026-03-02,Electronics,Anker Power Bank,25.5,1,25.5,Credit Card,Completed
ORD100191,CUST1178,2026-03-22,Books,Cookbook,25.92,2,51.84,Apple Pay,Completed
ORD100192,CUST1062,2026-01-26,Books,Biography,16.38,1,16.38,PayPal,Completed
ORD100193,CUST1095,2026-02-05,Electronics,MacBook Air,995.0,1,995.0,Apple Pay,Completed
ORD100194,CUST1230,2026-01-01,Home & Kitchen,Desk Lamp,38.32,2,76.64,Credit Card,Returned
ORD100195,CUST1240,2026-01-08,Books,Financial Freedom Manual,21.72,1,21.72,Credit Card,Completed
ORD100196,CUST1051,2026-04-23,Books,Python Programming Guide,18.54,4,74.16,Credit Card,Completed
ORD100197,CUST1095,2026-04-09,Books,Biography,18.88,1,18.88,PayPal,Completed
ORD100198,CUST1131,2026-06-29,Home & Kitchen,Hydro Flask,39.16,1,39.16,PayPal,Completed
ORD100199,CUST1221,2026-07-26,Clothing,Crewneck Sweater,51.13,1,51.13,Apple Pay,Completed
ORD100200,CUST1228,2026-02-16,Clothing,Crewneck Sweater,57.24,1,57.24,PayPal,Completed
ORD100201,CUST1150,2026-05-07,Clothing,Nike Hoodie,58.66,1,58.66,Apple Pay,Completed
ORD100202,CUST1230,2026-02-25,Home & Kitchen,Air Fryer,91.01,1,91.01,PayPal,Completed
ORD100203,CUST1236,2026-08-02,Home & Kitchen,Desk Lamp,27.57,2,55.14,Credit Card,Completed
ORD100204,CUST1142,2026-01-14,Electronics,MacBook Air,984.05,2,1968.1,Credit Card,Cancelled
ORD100205,CUST1170,2026-08-06,Books,Financial Freedom Manual,19.13,1,19.13,PayPal,Returned
ORD100206,CUST1028,2026-01-28,Home & Kitchen,Ninja Blender,94.04,1,94.04,Credit Card,Completed
ORD100207,CUST1035,2026-08-03,Clothing,Crewneck Sweater,48.27,1,48.27,Credit Card,Completed
ORD100208,CUST1012,2026-03-19,Clothing,Carhartt Jacket,116.41,1,116.41,PayPal,Completed
ORD100209,CUST1159,2026-08-04,Clothing,Nike Hoodie,37.62,1,37.62,Apple Pay,Completed
ORD100210,CUST1070,2026-05-10,Electronics,iPhone 15,764.05,1,764.05,Credit Card,Completed
ORD100211,CUST1186,2026-04-19,Electronics,Anker Power Bank,24.56,1,24.56,Apple Pay,Completed
ORD100212,CUST1242,2026-06-03,Electronics,MacBook Air,1003.18,1,1003.18,Apple Pay,Cancelled
ORD100213,CUST1085,2026-01-14,Electronics,Anker Power Bank,27.67,4,110.68,Credit Card,Returned
ORD100214,CUST1027,2026-07-06,Clothing,Adidas Sneakers,86.7,1,86.7,Credit Card,Completed
ORD100215,CUST1065,2026-02-25,Clothing,Adidas Sneakers,101.03,1,101.03,Credit Card,Completed
ORD100216,CUST1169,2026-04-25,Electronics,AirPods Pro,101.62,1,101.62,PayPal,Completed
ORD100217,CUST1044,2026-01-07,Home & Kitchen,Air Fryer,95.87,1,95.87,PayPal,Completed
ORD100218,CUST1061,2026-01-03,Electronics,Anker Power Bank,25.77,1,25.77,Apple Pay,Completed
ORD100219,CUST1184,2026-04-21,Books,Cookbook,25.52,1,25.52,PayPal,Completed
ORD100220,CUST1244,2026-05-31,Books,Cookbook,27.33,2,54.66,Credit Card,Completed
ORD100221,CUST1133,2026-08-26,Electronics,Anker Power Bank,29.47,1,29.47,Credit Card,Completed
ORD100222,CUST1027,2026-04-17,Clothing,Carhartt Jacket,149.58,1,149.58,PayPal,Completed
ORD100223,CUST1027,2026-08-27,Electronics,iPhone 15,848.39,4,3393.56,Credit Card,Completed
ORD100224,CUST1107,2026-08-25,Clothing,Crewneck Sweater,50.16,2,100.32,Credit Card,Completed
ORD100225,CUST1043,2026-01-18,Home & Kitchen,Desk Lamp,20.61,1,20.61,Credit Card,Completed
ORD100226,CUST1083,2026-09-07,Electronics,Logitech Mouse,39.59,1,39.59,Credit Card,Completed
ORD100227,CUST1029,2026-02-07,Clothing,Nike Hoodie,48.83,1,48.83,Credit Card,Completed
ORD100228,CUST1189,2026-08-15,Electronics,AirPods Pro,83.46,1,83.46,Credit Card,Completed
ORD100229,CUST1074,2026-04-25,Electronics,Anker Power Bank,36.66,1,36.66,Credit Card,Completed
ORD100230,CUST1127,2026-01-15,Home & Kitchen,Air Fryer,104.24,1,104.24,Credit Card,Completed
ORD100231,CUST1249,2026-07-11,Clothing,Levi Jeans,90.74,1,90.74,PayPal,Completed
ORD100232,CUST1246,2026-08-05,Clothing,Adidas Sneakers,84.16,1,84.16,Apple Pay,Completed
ORD100233,CUST1091,2026-04-29,Clothing,Crewneck Sweater,43.55,1,43.55,Credit Card,Completed
ORD100234,CUST1216,2026-08-17,Books,Biography,16.52,1,16.52,Apple Pay,Completed
ORD100235,CUST1230,2026-01-28,Electronics,MacBook Air,1005.76,1,1005.76,Credit Card,Completed
ORD100236,CUST1189,2026-07-21,Clothing,Adidas Sneakers,83.21,1,83.21,PayPal,Completed
ORD100237,CUST1224,2026-02-08,Home & Kitchen,Memory Foam Pillow,46.09,1,46.09,Apple Pay,Completed
ORD100238,CUST1128,2026-07-04,Clothing,Levi Jeans,109.1,1,109.1,PayPal,Completed
ORD100239,CUST1120,2026-01-17,Books,Financial Freedom Manual,24.73,1,24.73,Apple Pay,Completed
ORD100240,CUST1026,2026-08-19,Home & Kitchen,Air Fryer,125.2,1,125.2,Credit Card,Completed
ORD100241,CUST1189,2026-03-27,Home & Kitchen,Ninja Blender,121.69,1,121.69,Credit Card,Completed
ORD100242,CUST1120,2026-08-06,Home & Kitchen,Air Fryer,98.04,1,98.04,Apple Pay,Completed
ORD100243,CUST1115,2026-05-06,Books,Cookbook,15.21,2,30.42,Credit Card,Returned
ORD100244,CUST1204,2026-02-13,Books,Cookbook,20.12,2,40.24,Credit Card,Completed
ORD100245,CUST1232,2026-01-25,Home & Kitchen,Desk Lamp,38.13,1,38.13,PayPal,Returned
ORD100246,CUST1002,2026-05-25,Home & Kitchen,Air Fryer,126.37,1,126.37,Apple Pay,Returned
ORD100247,CUST1102,2026-01-13,Electronics,MacBook Air,985.34,1,985.34,Apple Pay,Completed
ORD100248,CUST1197,2026-07-31,Electronics,Logitech Mouse,20.75,1,20.75,Credit Card,Completed
ORD100249,CUST1199,2026-01-25,Clothing,Adidas Sneakers,113.94,1,113.94,Apple Pay,Completed
ORD100250,CUST1154,2026-03-09,Electronics,Anker Power Bank,35.87,3,107.61,Credit Card,Cancelled
ORD100251,CUST1136,2026-05-18,Clothing,Carhartt Jacket,107.33,1,107.33,Credit Card,Completed
ORD100252,CUST1061,2026-03-08,Electronics,AirPods Pro,145.51,1,145.51,PayPal,Completed
ORD100253,CUST1164,2026-08-21,Clothing,Nike Hoodie,58.72,2,117.44,Credit Card,Completed
ORD100254,CUST1224,2026-04-19,Home & Kitchen,Hydro Flask,59.51,3,178.53,Credit Card,Completed
ORD100255,CUST1050,2026-05-26,Books,Biography,24.31,2,48.62,PayPal,Completed
ORD100256,CUST1233,2026-04-21,Electronics,AirPods Pro,109.3,1,109.3,Credit Card,Completed
ORD100257,CUST1171,2026-08-16,Clothing,Adidas Sneakers,86.25,1,86.25,Credit Card,Completed
ORD100258,CUST1151,2026-04-21,Books,Financial Freedom Manual,20.66,1,20.66,Credit Card,Completed
ORD100259,CUST1206,2026-08-02,Electronics,iPhone 15,786.22,1,786.22,Credit Card,Completed
ORD100260,CUST1058,2026-02-03,Books,Sci-Fi Novel,25.97,1,25.97,Credit Card,Completed
ORD100261,CUST1117,2026-04-21,Clothing,Adidas Sneakers,102.6,1,102.6,Apple Pay,Completed
ORD100262,CUST1159,2026-01-08,Clothing,Adidas Sneakers,118.16,3,354.48,Apple Pay,Completed
