study_hours,practice_tests,attendance_pct,sleep_hours,passed
10.87,0,83.5,7.34,1
10.76,2,67.4,7.16,1
9.58,5,74.5,7.66,1
8.06,2,73.4,5.57,1
1.93,5,61.0,6.81,1
2.78,0,61.0,4.97,0
10.88,2,93.3,6.23,1
7.67,1,70.9,6.69,1
1.1,2,80.7,7.44,0
2.12,4,71.9,8.78,1
8.3,3,97.6,7.2,1
1.06,4,70.4,7.85,1
2.77,4,77.2,6.78,0
7.04,7,94.9,7.35,1
8.61,1,93.7,4.82,1
8.17,4,67.4,5.64,1
3.47,6,92.1,6.13,0
8.83,5,78.3,6.63,1
3.61,1,79.3,4.71,0
4.58,6,65.3,5.13,1
9.21,4,63.2,5.75,1
8.15,7,89.1,8.87,1
10.34,4,79.9,5.99,1
8.23,5,77.5,6.67,1
7.25,6,89.2,5.38,1
2.03,4,90.6,7.25,0
5.04,5,66.4,5.76,0
3.92,1,84.4,5.43,1
3.68,4,65.4,6.82,1
11.7,3,90.1,4.52,1
5.32,1,86.3,4.53,0
10.81,7,98.3,5.49,1
7.94,2,62.8,4.67,1
9.74,3,62.3,4.99,1
6.53,4,71.3,6.02,1
7.35,3,70.5,8.11,1
6.42,7,69.9,7.07,1
3.15,1,96.3,6.81,0
8.95,4,70.0,5.82,1
4.09,7,70.9,8.69,1
1.27,4,90.4,6.29,1
8.1,6,78.0,4.89,1
2.95,3,91.1,7.28,1
11.35,8,62.6,5.01,1
11.49,6,79.5,6.05,1
11.06,1,61.3,6.78,1
5.07,4,62.5,8.43,1
1.17,3,96.3,6.72,1
11.21,3,65.6,7.66,1
5.71,5,81.3,8.97,1
11.63,4,76.4,5.09,1
11.6,5,73.9,5.74,1
10.38,1,96.0,6.28,1
4.24,4,60.9,6.4,0
5.24,3,86.6,6.35,1
10.36,3,98.5,8.58,1
4.49,5,82.4,7.71,0
2.86,2,97.5,7.24,1
7.12,3,62.1,5.89,0
11.3,6,76.8,8.21,1
8.66,6,70.4,8.8,1
7.27,5,89.2,8.2,1
2.07,5,99.3,4.51,0
7.77,5,70.3,7.36,1
11.89,2,86.2,4.73,1
2.54,5,67.9,5.66,1
6.7,5,82.6,4.77,1
10.65,4,78.6,7.22,1
9.15,3,98.9,7.59,1
8.67,2,84.3,5.02,1
8.73,3,74.0,6.23,1
4.95,3,64.6,6.55,0
4.23,5,66.0,6.16,0
9.9,6,69.0,5.04,1
9.91,4,70.0,6.39,1
10.54,3,94.0,7.88,1
11.05,5,82.4,4.82,1
6.62,7,80.9,4.86,1
6.52,5,64.6,6.1,1
9.78,3,94.4,8.74,1
8.15,5,88.9,7.51,1
8.72,7,62.7,7.55,1
9.75,7,88.3,6.13,1
10.79,3,81.7,7.17,1
4.72,7,63.3,4.55,1
5.13,4,78.3,7.36,1
2.03,2,79.4,8.61,0
7.36,5,66.6,7.26,1
1.4,3,97.8,8.43,1
6.12,3,94.0,7.76,1
6.97,3,86.8,5.04,1
4.15,4,78.5,8.56,0
7.5,1,76.5,4.8,0
1.34,3,86.0,6.9,0
1.41,7,81.8,5.14,0
10.05,3,62.5,4.55,1
4.96,5,80.5,6.4,0
2.4,2,92.3,5.83,1
6.74,3,78.4,6.69,1
9.47,1,62.1,7.1,1
3.37,5,91.5,4.7,1
7.85,4,68.1,5.05,1
1.94,3,70.3,7.01,0
